#timestamp imgname x y z qx qy qz qw
1783519054.918467 pano/1783519054.918467.jpg 3323293.322878 5580840.980717 169.104193 -0.160871 0.704077 -0.665948 0.186841
1783519056.417534 pano/1783519056.417534.jpg 3323292.298772 5580839.809061 168.774777 0.036368 0.727309 -0.677240 -0.105098
1783519057.516850 pano/1783519057.516850.jpg 3323291.162542 5580839.626628 168.812501 -0.099375 -0.696447 0.696610 0.140789
1783519059.515605 pano/1783519059.515605.jpg 3323290.482848 5580839.315846 168.785144 -0.585941 0.418263 -0.384305 0.577961
1783519060.315130 pano/1783519060.315130.jpg 3323291.423715 5580838.523951 168.729804 -0.699945 0.206354 -0.241245 0.639763
1783519061.314486 pano/1783519061.314486.jpg 3323292.675586 5580837.484172 168.762546 -0.674170 0.206357 -0.263498 0.658392
1783519061.914112 pano/1783519061.914112.jpg 3323293.434218 5580836.887204 168.800279 -0.668127 0.181703 -0.258024 0.673805
1783519063.413179 pano/1783519063.413179.jpg 3323295.542776 5580835.554193 168.895326 -0.693549 0.160474 -0.224841 0.665345
1783519064.212686 pano/1783519064.212686.jpg 3323296.649368 5580834.817342 168.994614 -0.684535 0.214029 -0.230948 0.657470
1783519065.112122 pano/1783519065.112122.jpg 3323297.804795 5580833.979142 169.034369 -0.666257 0.210791 -0.245252 0.671952
1783519065.811686 pano/1783519065.811686.jpg 3323298.690762 5580833.323072 169.123396 -0.666016 0.243299 -0.268941 0.651843
1783519067.510628 pano/1783519067.510628.jpg 3323300.853646 5580831.635240 169.591592 -0.630909 0.258724 -0.299446 0.667344
1783519068.010318 pano/1783519068.010318.jpg 3323301.464675 5580831.287555 169.700572 -0.631999 0.296026 -0.317569 0.641947
1783519069.109635 pano/1783519069.109635.jpg 3323302.713247 5580830.521033 169.774034 -0.642531 0.307899 -0.364885 0.599342
1783519069.609322 pano/1783519069.609322.jpg 3323303.356656 5580830.142534 169.767946 -0.654019 0.271677 -0.329064 0.624634
1783519071.508139 pano/1783519071.508139.jpg 3323305.221871 5580828.637634 169.766539 0.303245 -0.610472 0.688040 -0.248933
1783519072.007829 pano/1783519072.007829.jpg 3323305.706969 5580828.233404 169.767589 0.184939 -0.668891 0.694666 -0.189269
1783519073.007207 pano/1783519073.007207.jpg 3323306.694506 5580827.089913 169.740908 -0.489736 0.371277 -0.554881 0.560730
1783519074.506274 pano/1783519074.506274.jpg 3323308.528965 5580825.840749 169.671432 -0.619125 0.251202 -0.401033 0.626701
1783519074.906024 pano/1783519074.906024.jpg 3323309.044379 5580825.575916 169.627604 -0.651470 0.199226 -0.359216 0.637856
1783519076.305158 pano/1783519076.305158.jpg 3323310.893050 5580824.645274 169.389342 -0.725325 0.058247 -0.127142 0.674051
1783519077.104656 pano/1783519077.104656.jpg 3323311.837843 5580824.069664 169.348673 -0.726410 0.057599 -0.103938 0.676910
1783519077.904162 pano/1783519077.904162.jpg 3323312.789243 5580823.491370 169.271515 -0.706599 0.096239 -0.153493 0.684029
1783519078.703661 pano/1783519078.703661.jpg 3323313.773285 5580822.911532 169.330643 -0.707497 0.194481 -0.207477 0.646976
1783519079.603100 pano/1783519079.603100.jpg 3323314.868401 5580822.705253 169.336094 -0.707146 -0.121112 0.044358 0.695204
1783519081.002229 pano/1783519081.002229.jpg 3323316.277849 5580823.232017 169.411019 -0.669028 -0.300031 0.178834 0.656050
1783519082.101545 pano/1783519082.101545.jpg 3323316.737666 5580823.460716 169.475255 -0.666005 -0.304756 0.193982 0.652635
1783519084.400114 pano/1783519084.400114.jpg 3323317.509336 5580821.689641 169.380196 -0.713077 0.140405 -0.216614 0.651833
1783519084.799865 pano/1783519084.799865.jpg 3323317.876752 5580821.282293 169.373013 -0.719641 0.152244 -0.222345 0.639923
1783519085.699306 pano/1783519085.699306.jpg 3323318.700633 5580820.391119 169.430546 -0.690559 0.189339 -0.227504 0.659940
1783519086.598746 pano/1783519086.598746.jpg 3323319.702711 5580819.540030 169.420767 -0.678493 0.188653 -0.238169 0.668829
1783519087.897936 pano/1783519087.897936.jpg 3323321.138737 5580818.251778 169.448476 -0.672871 0.253478 -0.244282 0.650630
1783519088.797378 pano/1783519088.797378.jpg 3323322.053639 5580817.343828 169.439809 -0.681209 0.209290 -0.291742 0.637996
1783519089.996629 pano/1783519089.996629.jpg 3323323.527866 5580816.303978 169.484430 -0.676343 0.184073 -0.260980 0.663752
1783519091.095945 pano/1783519091.095945.jpg 3323324.939964 5580815.406283 169.503028 -0.688031 0.186700 -0.265635 0.648995
1783519092.195263 pano/1783519092.195263.jpg 3323326.297763 5580814.475318 169.526016 -0.684423 0.223188 -0.296233 0.627693
1783519093.194643 pano/1783519093.194643.jpg 3323327.573432 5580813.741815 169.558786 -0.661494 0.249050 -0.321962 0.629873
1783519094.393897 pano/1783519094.393897.jpg 3323328.982241 5580812.860595 169.573077 -0.641867 0.299260 -0.399499 0.582108
1783519095.193398 pano/1783519095.193398.jpg 3323329.773151 5580812.327152 169.570646 -0.573339 0.396598 -0.490816 0.522581
1783519096.092835 pano/1783519096.092835.jpg 3323330.445476 5580811.910080 169.601864 0.425422 -0.533706 0.588344 -0.433618
1783519096.792399 pano/1783519096.792399.jpg 3323330.995405 5580811.394043 169.610748 0.506226 -0.472862 0.552393 -0.463678
1783519098.591279 pano/1783519098.591279.jpg 3323330.512536 5580811.289815 169.656706 -0.199665 0.706002 -0.663824 0.145030
1783519099.890470 pano/1783519099.890470.jpg 3323329.689967 5580811.326526 169.849630 -0.136121 0.764896 -0.629431 0.014871
1783519101.389537 pano/1783519101.389537.jpg 3323330.348264 5580811.117039 169.724976 0.522447 -0.462248 0.536364 -0.475068
1783519102.588794 pano/1783519102.588794.jpg 3323331.376378 5580811.201765 169.685494 0.526502 -0.449489 0.548141 -0.469359
1783519103.588170 pano/1783519103.588170.jpg 3323332.495059 5580810.745958 169.694662 -0.594410 0.392038 -0.475228 0.516857
1783519104.887360 pano/1783519104.887360.jpg 3323334.065282 5580809.761488 169.719187 -0.647636 0.271110 -0.388989 0.596452
1783519105.786800 pano/1783519105.786800.jpg 3323335.335726 5580809.152928 169.770305 -0.690343 0.124859 -0.243161 0.669857
1783519106.986054 pano/1783519106.986054.jpg 3323336.818336 5580808.294043 169.775128 -0.678080 0.180814 -0.276874 0.656395
1783519108.185306 pano/1783519108.185306.jpg 3323338.152671 5580807.259124 169.790993 -0.681983 0.196537 -0.307514 0.633804
1783519108.884871 pano/1783519108.884871.jpg 3323338.960034 5580806.640416 169.839613 -0.676422 0.191026 -0.276725 0.655275
1783519109.984187 pano/1783519109.984187.jpg 3323340.312776 5580805.809786 169.858926 -0.675275 0.126705 -0.236926 0.686888
1783519111.483253 pano/1783519111.483253.jpg 3323342.126428 5580804.746351 169.857576 -0.670323 0.201258 -0.302433 0.647068
1783519112.082880 pano/1783519112.082880.jpg 3323342.875148 5580804.314170 169.860148 -0.667703 0.165498 -0.258172 0.678329
1783519113.382071 pano/1783519113.382071.jpg 3323344.462612 5580803.415436 169.885076 -0.668309 0.210001 -0.285490 0.654033
1783519114.381451 pano/1783519114.381451.jpg 3323345.775418 5580802.694359 169.904979 -0.666289 0.138223 -0.204597 0.703629
1783519114.881140 pano/1783519114.881140.jpg 3323346.376086 5580802.306033 169.916178 -0.664190 0.174925 -0.215229 0.694211
1783519116.280268 pano/1783519116.280268.jpg 3323348.025754 5580801.147017 169.884877 -0.679620 0.163117 -0.260060 0.666243
1783519117.079771 pano/1783519117.079771.jpg 3323348.960607 5580800.507641 169.918317 -0.669187 0.220826 -0.271579 0.655491
1783519118.578836 pano/1783519118.578836.jpg 3323350.375253 5580799.450245 169.852901 0.527591 -0.459288 0.528352 -0.481193
1783519119.278401 pano/1783519119.278401.jpg 3323351.030996 5580799.097740 169.917658 0.400904 -0.560383 0.581443 -0.432634
1783519120.777468 pano/1783519120.777468.jpg 3323351.853153 5580798.480637 169.924035 0.352416 -0.606013 0.624564 -0.344197
1783519122.176597 pano/1783519122.176597.jpg 3323350.707981 5580799.166248 170.186966 -0.221297 0.702818 -0.669801 0.091878
1783519123.575726 pano/1783519123.575726.jpg 3323349.026268 5580800.463684 170.510768 0.146571 0.703302 -0.647416 -0.254434
1783519123.975477 pano/1783519123.975477.jpg 3323348.552260 5580800.754250 170.547774 0.114193 0.711952 -0.631806 -0.284439
1783519125.374606 pano/1783519125.374606.jpg 3323346.788569 5580802.053470 170.575970 0.251279 0.658875 -0.629599 -0.326110
1783519125.874295 pano/1783519125.874295.jpg 3323346.233627 5580802.508771 170.554446 0.177689 0.676365 -0.642427 -0.313440
1783519127.273424 pano/1783519127.273424.jpg 3323344.350021 5580803.767815 170.495107 0.214578 0.674392 -0.608839 -0.358422
1783519128.272802 pano/1783519128.272802.jpg 3323342.947951 5580804.662809 170.483593 0.199281 0.687076 -0.614894 -0.331842
1783519128.972368 pano/1783519128.972368.jpg 3323341.993482 5580805.350110 170.473111 0.183892 0.689755 -0.626788 -0.312343
1783519129.671931 pano/1783519129.671931.jpg 3323341.016179 5580805.992102 170.422157 0.172811 0.677985 -0.642245 -0.313041
1783519130.971122 pano/1783519130.971122.jpg 3323339.204640 5580807.227401 170.376656 0.194414 0.677431 -0.640500 -0.305040
1783519132.070438 pano/1783519132.070438.jpg 3323337.690730 5580808.173542 170.346110 0.173123 0.679424 -0.639944 -0.314458
1783519133.369629 pano/1783519133.369629.jpg 3323335.800545 5580809.232110 170.249278 0.175673 0.669579 -0.657075 -0.298422
1783519134.169145 pano/1783519134.169145.jpg 3323334.706381 5580809.928228 170.215949 -0.171974 -0.665972 0.667921 0.284232
1783519135.168509 pano/1783519135.168509.jpg 3323333.402428 5580810.830543 170.180056 0.160870 0.687416 -0.656809 -0.264919
1783519136.567638 pano/1783519136.567638.jpg 3323331.634300 5580811.869728 170.140221 0.163328 0.682251 -0.662319 -0.263042
1783519138.566394 pano/1783519138.566394.jpg 3323331.139885 5580811.280754 169.230986 -0.612129 0.320538 -0.409572 0.595655
1783519139.465834 pano/1783519139.465834.jpg 3323331.245972 5580811.039848 168.582756 -0.668320 0.330876 -0.294582 0.597571
1783519143.963035 pano/1783519143.963035.jpg 3323331.239805 5580811.011572 168.565338 -0.620071 0.333596 -0.339794 0.623512
1783519147.560795 pano/1783519147.560795.jpg 3323331.930652 5580811.777431 169.475276 -0.697570 -0.159375 0.150905 0.682072
1783519148.260359 pano/1783519148.260359.jpg 3323332.551245 5580812.181065 169.576855 -0.671291 -0.232162 0.207446 0.672633
1783519149.459613 pano/1783519149.459613.jpg 3323333.726287 5580813.120141 169.590678 -0.676458 -0.248840 0.206610 0.661661
1783519150.059239 pano/1783519150.059239.jpg 3323334.255335 5580813.371010 169.712312 -0.697938 -0.174630 0.160631 0.675710
1783519150.758804 pano/1783519150.758804.jpg 3323334.876463 5580813.633084 169.699184 -0.644791 -0.287190 0.265224 0.656828
